person_id;household_id;iris_id;commune_id;departement_id;age;sex;couple;commute_mode;employed;studies;number_of_vehicles;household_size;work_outside_region;education_outside_region;consumption_units;socioprofessional_class;census_person_id;census_household_id
48515;20641;undefined;undefined;44;20;male;False;car;True;True;3;3;False;False;2.0;6;11431;4857
48516;20641;undefined;undefined;44;49;male;True;car;True;False;3;3;False;False;2.0;6;11432;4857
50803;21873;undefined;undefined;44;73;male;False;;False;False;1;1;False;False;1.0;7;12206;5266
52422;22733;440550102;44055;44;85;female;False;;False;False;0;1;False;False;1.0;7;12735;5543
53485;23264;441320101;44132;44;35;female;True;car;True;False;2;2;False;False;1.5;6;13082;5717
53486;23264;441320101;44132;44;34;male;True;car;True;False;2;2;False;False;1.5;4;13081;5717
53663;23349;440550103;44055;44;46;female;True;car;True;False;2;3;False;False;2.0;5;13141;5746
53664;23349;440550103;44055;44;17;male;False;;False;True;2;3;False;False;2.0;8;13142;5746
53665;23349;440550103;44055;44;60;male;True;;False;False;2;3;False;False;2.0;6;13143;5746
53954;23479;undefined;undefined;44;30;female;False;car;True;False;1;2;False;False;1.3;5;13254;5793
53955;23479;undefined;undefined;44;6;female;False;;False;True;1;2;False;False;1.3;8;13255;5793
54476;23733;440550103;44055;44;25;male;False;car;True;False;1;1;False;False;1.0;5;13431;5881
54649;23819;440550101;44055;44;81;female;False;;False;False;1;1;False;False;1.0;7;13492;5912
55674;24315;440550102;44055;44;53;female;False;car;True;False;2;1;False;False;1.0;3;13846;6084
57897;25454;440550106;44055;44;19;male;False;;False;True;0;1;False;False;1.0;8;14615;6466
58268;25636;441350101;44135;44;62;male;True;;False;False;1;2;False;False;1.5;7;14738;6524
58269;25636;441350101;44135;44;56;female;True;bike;True;False;1;2;False;False;1.5;5;14739;6524
61318;27133;undefined;undefined;44;12;male;False;;False;True;2;4;False;False;2.3;8;15738;7015
61319;27133;undefined;undefined;44;15;male;False;;False;True;2;4;False;False;2.3;8;15739;7015
61320;27133;undefined;undefined;44;44;male;True;car;True;False;2;4;False;False;2.3;4;15740;7015
61321;27133;undefined;undefined;44;39;female;True;car;True;False;2;4;False;False;2.3;4;15741;7015
62005;27492;441320102;44132;44;82;male;False;;False;False;1;1;False;False;1.0;7;15967;7134
62245;27628;440550105;44055;44;42;female;False;car;True;False;1;2;False;False;1.3;4;16070;7188
62246;27628;440550105;44055;44;11;male;False;;False;True;1;2;False;False;1.3;8;16071;7188
62500;27740;undefined;undefined;44;37;male;False;car;True;False;2;2;False;False;1.5;6;16151;7224
62501;27740;undefined;undefined;44;78;female;False;;False;False;2;2;False;False;1.5;7;16152;7224
63651;28331;440550104;44055;44;3;male;False;;False;False;1;4;False;False;2.1;8;16511;7405
63652;28331;440550104;44055;44;44;male;True;;False;False;1;4;False;False;2.1;4;16512;7405
63653;28331;440550104;44055;44;28;female;True;;False;False;1;4;False;False;2.1;5;16513;7405
63654;28331;440550104;44055;44;2;female;False;;False;False;1;4;False;False;2.1;8;16514;7405
67323;30217;440550101;44055;44;59;male;True;car;True;False;1;2;False;False;1.5;4;17709;8025
67324;30217;440550101;44055;44;57;female;True;;False;False;1;2;False;False;1.5;5;17708;8025
67377;30247;440550103;44055;44;96;female;False;;False;False;1;1;False;False;1.0;7;17723;8034
70483;31872;undefined;undefined;44;35;male;True;car;True;False;2;4;False;False;2.1;6;18697;8542
70484;31872;undefined;undefined;44;33;female;True;car;True;False;2;4;False;False;2.1;6;18698;8542
70485;31872;undefined;undefined;44;9;female;False;;False;True;2;4;False;False;2.1;8;18699;8542
70486;31872;undefined;undefined;44;6;female;False;;False;True;2;4;False;False;2.1;8;18700;8542
76693;35122;undefined;undefined;44;68;female;True;;False;False;1;2;False;False;1.5;7;20782;9614
76694;35122;undefined;undefined;44;67;male;True;;False;False;1;2;False;False;1.5;7;20783;9614
77002;35298;440550103;44055;44;30;male;False;car;True;False;1;1;False;False;1.0;5;20880;9669
81344;37545;441350101;44135;44;6;male;False;;False;True;1;3;False;False;1.6;8;22364;10426
81345;37545;441350101;44135;44;8;male;False;;False;True;1;3;False;False;1.6;8;22365;10426
81346;37545;441350101;44135;44;34;female;False;;False;False;1;3;False;False;1.6;5;22366;10426
84859;39194;undefined;undefined;44;28;male;True;car;True;False;2;3;False;False;1.8;4;23636;10888
84860;39194;undefined;undefined;44;1;male;False;;False;False;2;3;False;False;1.8;8;23637;10888
84861;39194;undefined;undefined;44;26;female;True;car;True;False;2;3;False;False;1.8;4;23638;10888
85934;39624;undefined;undefined;44;73;male;False;;False;False;1;1;False;False;1.0;7;23861;10977
86826;39980;undefined;undefined;44;60;male;True;;False;False;2;2;False;False;1.5;7;24053;11052
86827;39980;undefined;undefined;44;56;female;True;car;True;False;2;2;False;False;1.5;6;24054;11052
88690;40732;undefined;undefined;44;49;male;True;car;True;False;1;4;False;False;2.5;6;24466;11216
88691;40732;undefined;undefined;44;46;female;True;;True;False;1;4;False;False;2.5;5;24467;11216
88692;40732;undefined;undefined;44;15;male;False;;False;True;1;4;False;False;2.5;8;24468;11216
88693;40732;undefined;undefined;44;22;female;False;car;True;False;1;4;False;False;2.5;5;24469;11216
94325;42976;undefined;undefined;44;29;female;False;car;True;False;1;2;False;False;1.3;5;25668;11689
94326;42976;undefined;undefined;44;5;female;False;;False;True;1;2;False;False;1.3;8;25669;11689
97939;44468;undefined;undefined;44;1;female;False;;False;False;2;3;False;False;1.8;8;26447;12006
97940;44468;undefined;undefined;44;32;female;True;car;True;False;2;3;False;False;1.8;3;26448;12006
97941;44468;undefined;undefined;44;35;male;True;;False;False;2;3;False;False;1.8;6;26449;12006
98417;44666;undefined;undefined;44;14;female;False;;False;True;2;3;False;False;2.0;8;26554;12049
98418;44666;undefined;undefined;44;45;male;True;car;True;False;2;3;False;False;2.0;4;26555;12049
98419;44666;undefined;undefined;44;42;female;True;car;True;False;2;3;False;False;2.0;5;26556;12049
100760;45536;undefined;undefined;44;74;female;True;;False;False;1;2;False;False;1.5;7;27054;12235
100761;45536;undefined;undefined;44;82;male;True;;False;False;1;2;False;False;1.5;7;27055;12235
101464;45824;441580101;44158;44;24;male;False;car;True;False;3;3;False;False;2.0;6;27207;12297
101465;45824;441580101;44158;44;24;female;False;car;True;False;3;3;False;False;2.0;6;27208;12297
101466;45824;441580101;44158;44;24;male;False;;False;False;3;3;False;False;2.0;4;27209;12297
110104;49215;undefined;undefined;44;61;female;False;car;True;False;1;1;False;False;1.0;6;29081;13027
111429;49780;undefined;undefined;44;41;male;True;car;True;False;2;3;False;False;1.8;3;29360;13146
111430;49780;undefined;undefined;44;36;female;True;car;True;False;2;3;False;False;1.8;4;29361;13146
111431;49780;undefined;undefined;44;8;male;False;;False;True;2;3;False;False;1.8;8;29362;13146
111881;49987;441580101;44158;44;19;female;False;;False;True;1;3;False;False;2.0;8;29460;13191
111882;49987;441580101;44158;44;45;female;False;car;True;False;1;3;False;False;2.0;4;29459;13191
111883;49987;441580101;44158;44;16;male;False;;False;True;1;3;False;False;2.0;8;29458;13191
112999;50439;undefined;undefined;44;40;male;False;pt;True;False;1;3;False;False;2.0;4;29704;13289
113000;50439;undefined;undefined;44;71;female;True;;False;False;1;3;False;False;2.0;7;29705;13289
113001;50439;undefined;undefined;44;72;male;True;;False;False;1;3;False;False;2.0;7;29706;13289
115331;51361;441580102;44158;44;18;female;False;;False;True;1;2;False;False;1.5;8;30200;13483
115332;51361;441580102;44158;44;59;female;False;car;True;False;1;2;False;False;1.5;5;30199;13483
119395;52928;undefined;undefined;44;32;male;True;car;True;False;2;2;False;False;1.5;6;31094;13821
119396;52928;undefined;undefined;44;30;female;True;car;True;False;2;2;False;False;1.5;3;31095;13821
125027;55098;undefined;undefined;44;58;male;True;car;True;False;3;3;False;False;2.0;6;32301;14281
125028;55098;undefined;undefined;44;43;female;True;car;True;False;3;3;False;False;2.0;5;32299;14281
125029;55098;undefined;undefined;44;15;male;False;;False;True;3;3;False;False;2.0;8;32300;14281
125080;55117;441580101;44158;44;67;male;True;;False;False;1;2;False;False;1.5;7;32314;14285
125081;55117;441580101;44158;44;62;female;True;;False;False;1;2;False;False;1.5;7;32313;14285
128785;56600;undefined;undefined;44;41;male;True;car;True;False;2;4;False;False;2.3;5;33139;14606
128786;56600;undefined;undefined;44;39;female;True;car;True;False;2;4;False;False;2.3;3;33140;14606
128787;56600;undefined;undefined;44;10;male;False;;False;True;2;4;False;False;2.3;8;33137;14606
128788;56600;undefined;undefined;44;14;female;False;;False;True;2;4;False;False;2.3;8;33138;14606
129087;56719;441580101;44158;44;34;female;True;;False;False;2;3;False;False;1.8;8;33202;14631
129088;56719;441580101;44158;44;46;male;True;car;True;False;2;3;False;False;1.8;2;33203;14631
129089;56719;441580101;44158;44;4;male;False;;False;True;2;3;False;False;1.8;8;33204;14631
129820;56979;441580101;44158;44;62;male;True;car;True;False;3;3;False;False;2.0;3;33350;14684
129821;56979;441580101;44158;44;56;female;True;car;True;False;3;3;False;False;2.0;3;33351;14684
129822;56979;441580101;44158;44;28;male;False;car;True;True;3;3;False;False;2.0;4;33352;14684
138043;60223;442040103;44204;44;58;female;True;car;True;False;1;2;False;False;1.5;4;36072;15702
138044;60223;442040103;44204;44;60;male;True;car;True;False;1;2;False;False;1.5;4;36073;15702
142646;62258;440260107;44026;44;75;female;False;;False;False;1;1;False;False;1.0;7;37655;16415
143502;62574;441720104;44172;44;51;male;False;;False;False;0;1;False;False;1.0;8;37909;16514
147594;64258;441720102;44172;44;78;male;False;;False;False;1;1;False;False;1.0;7;39226;17077
148291;64590;441720103;44172;44;49;female;True;pt;True;False;2;2;False;False;1.5;5;39471;17194
148292;64590;441720103;44172;44;50;male;True;car;True;False;2;2;False;False;1.5;4;39472;17194
148323;64608;441720105;44172;44;70;male;True;;False;True;2;2;False;False;1.5;5;39480;17198
148324;64608;441720105;44172;44;67;female;False;;False;True;2;2;False;False;1.5;7;39479;17198
149999;65311;441720102;44172;44;31;female;False;car;True;False;1;3;False;False;1.6;5;40056;17447
150000;65311;441720102;44172;44;1;female;False;;False;False;1;3;False;False;1.6;8;40054;17447
150001;65311;441720102;44172;44;5;female;False;;False;True;1;3;False;False;1.6;8;40055;17447
152229;66203;440260101;44026;44;56;male;False;car;True;False;1;1;False;False;1.0;6;40806;17767
155142;67484;440260107;44026;44;66;female;False;;False;False;1;1;False;False;1.0;7;41804;18215
155207;67520;441720102;44172;44;77;female;False;;False;False;1;1;False;False;1.0;7;41820;18225
156051;67841;442040103;44204;44;37;female;True;car;True;False;2;2;False;False;1.5;3;42091;18334
156052;67841;442040103;44204;44;39;male;True;car;True;False;2;2;False;False;1.5;4;42092;18334
156856;68146;441720103;44172;44;63;male;True;;False;False;1;2;False;False;1.5;7;42330;18431
156857;68146;441720103;44172;44;62;female;True;;False;False;1;2;False;False;1.5;7;42331;18431
162313;70453;442040101;44204;44;60;female;False;car;True;False;1;1;False;False;1.0;3;44141;19217
162712;70636;441720104;44172;44;28;male;False;car;True;False;1;1;False;False;1.0;4;44268;19274
163545;70959;441720101;44172;44;87;female;False;;False;False;0;1;False;False;1.0;7;44510;19373
166048;71947;440260107;44026;44;41;female;True;car;True;False;2;5;False;False;2.6;3;45327;19709
166049;71947;440260107;44026;44;9;female;False;;False;True;2;5;False;False;2.6;8;45324;19709
166050;71947;440260107;44026;44;13;female;False;;False;True;2;5;False;False;2.6;8;45325;19709
166051;71947;440260107;44026;44;16;female;False;;False;True;2;5;False;False;2.6;8;45326;19709
166052;71947;440260107;44026;44;41;male;True;car;True;False;2;5;False;False;2.6;3;45328;19709
171166;74108;441720103;44172;44;70;male;True;;False;False;1;2;False;False;1.5;7;47034;20446
171167;74108;441720103;44172;44;66;female;True;;False;False;1;2;False;False;1.5;7;47033;20446
173474;75092;441720104;44172;44;51;female;False;car;True;False;2;2;False;False;1.5;4;47831;20790
173475;75092;441720104;44172;44;22;male;False;car;True;False;2;2;False;False;1.5;6;47832;20790
173967;75298;440260104;44026;44;82;male;True;;False;False;1;2;False;False;1.5;7;47999;20863
173968;75298;440260104;44026;44;84;female;True;;False;False;1;2;False;False;1.5;7;47998;20863
174959;75730;441720106;44172;44;18;female;False;;False;True;1;5;False;False;2.6;8;48335;21016
174960;75730;441720106;44172;44;62;female;False;;False;False;1;5;False;False;2.6;8;48337;21016
174961;75730;441720106;44172;44;2;male;False;;False;False;1;5;False;False;2.6;8;48333;21016
174962;75730;441720106;44172;44;38;female;False;;False;False;1;5;False;False;2.6;8;48334;21016
174963;75730;441720106;44172;44;13;female;False;;False;True;1;5;False;False;2.6;8;48336;21016
175425;75937;442170102;44217;44;25;male;True;;False;False;1;2;False;False;1.5;8;49032;21087
175426;75937;442170102;44217;44;25;female;True;car;True;False;1;2;False;False;1.5;4;49033;21087
175968;76159;440350101;44035;44;71;male;True;;False;False;0;2;False;False;1.5;7;49201;21156
175969;76159;440350101;44035;44;73;female;True;;False;False;0;2;False;False;1.5;7;49202;21156
179118;77358;440350107;44035;44;59;female;False;bike;True;False;1;1;False;False;1.0;6;50130;21515
186890;80358;442090103;44209;44;25;male;True;car;True;False;3;2;False;False;1.5;4;52456;22424
186891;80358;442090103;44209;44;24;female;True;car;True;False;3;2;False;False;1.5;5;52457;22424
187094;80443;undefined;undefined;44;49;female;False;car;True;False;1;1;False;False;1.0;5;52532;22453
187207;80496;442090103;44209;44;58;male;True;car;True;False;1;2;False;False;1.5;4;52559;22465
187208;80496;442090103;44209;44;53;female;True;car;True;False;1;2;False;False;1.5;5;52560;22465
194089;83273;442090102;44209;44;23;female;False;;False;False;1;3;False;False;2.0;5;54566;23285
194090;83273;442090102;44209;44;56;male;True;car;True;False;1;3;False;False;2.0;4;54567;23285
194091;83273;442090102;44209;44;51;female;True;;True;False;1;3;False;False;2.0;5;54568;23285
202098;86410;442010102;44201;44;75;male;True;;False;False;1;2;False;False;1.5;7;56912;24213
202099;86410;442010102;44201;44;78;female;True;;False;False;1;2;False;False;1.5;7;56913;24213
206013;87973;undefined;undefined;44;53;male;True;car;True;False;2;3;False;False;2.0;6;58093;24694
206014;87973;undefined;undefined;44;19;male;False;car;True;True;2;3;False;False;2.0;4;58094;24694
206015;87973;undefined;undefined;44;49;female;True;car;True;False;2;3;False;False;2.0;4;58095;24694
209509;89359;undefined;undefined;44;75;male;True;;False;False;1;2;False;False;1.5;7;59140;25108
209510;89359;undefined;undefined;44;71;female;True;;False;False;1;2;False;False;1.5;7;59141;25108
218515;92960;442090102;44209;44;60;female;True;;False;False;2;2;False;False;1.5;8;61863;26209
218516;92960;442090102;44209;44;62;male;True;;False;False;2;2;False;False;1.5;7;61864;26209
223560;95080;440360103;44036;44;71;male;False;;False;False;3;1;False;False;1.0;7;63574;26862
223846;95211;undefined;undefined;44;32;male;True;car;True;False;2;2;False;False;1.5;6;63666;26901
223847;95211;undefined;undefined;44;21;female;True;car;True;False;2;2;False;False;1.5;4;63667;26901
234564;100028;undefined;undefined;44;47;male;False;car;True;False;1;3;False;False;1.8;4;66949;28356
234565;100028;undefined;undefined;44;12;female;False;;False;True;1;3;False;False;1.8;8;66950;28356
234566;100028;undefined;undefined;44;15;female;False;;False;True;1;3;False;False;1.8;8;66951;28356
236351;100804;undefined;undefined;44;6;female;False;;False;True;1;3;False;False;1.6;8;67491;28593
236352;100804;undefined;undefined;44;4;male;False;;False;True;1;3;False;False;1.6;8;67492;28593
236353;100804;undefined;undefined;44;28;male;False;car;True;False;1;3;False;False;1.6;6;67493;28593
247380;105754;undefined;undefined;44;62;female;False;bike;True;False;1;1;False;False;1.0;4;70715;30042
253422;108376;440430102;44043;44;26;male;True;car;True;False;1;2;False;False;1.5;3;72604;30775
253423;108376;440430102;44043;44;25;female;True;;False;False;1;2;False;False;1.5;3;72605;30775
256564;109644;440430101;44043;44;34;female;True;car;True;False;2;2;False;False;1.5;5;73276;31046
256565;109644;440430101;44043;44;69;male;True;;False;False;2;2;False;False;1.5;7;73275;31046
257324;109949;440430101;44043;44;76;male;False;;False;False;1;1;False;False;1.0;7;73440;31112
258635;110500;undefined;undefined;44;58;male;True;car;True;False;1;3;False;False;2.0;4;73724;31231
258636;110500;undefined;undefined;44;57;female;True;car;True;False;1;3;False;False;2.0;4;73725;31231
258637;110500;undefined;undefined;44;14;male;False;;False;True;1;3;False;False;2.0;8;73726;31231
259924;111028;undefined;undefined;44;58;male;True;car;True;False;2;2;False;False;1.5;2;74017;31347
259925;111028;undefined;undefined;44;57;female;True;car;True;False;2;2;False;False;1.5;4;74018;31347
260728;111327;undefined;undefined;44;41;female;True;car;True;False;2;4;False;False;2.3;5;74200;31413
260729;111327;undefined;undefined;44;40;male;True;car;True;False;2;4;False;False;2.3;6;74199;31413
260730;111327;undefined;undefined;44;12;female;False;;False;True;2;4;False;False;2.3;8;74197;31413
260731;111327;undefined;undefined;44;15;female;False;;False;True;2;4;False;False;2.3;8;74198;31413
261746;111770;440430101;44043;44;64;male;True;;False;False;2;2;False;False;1.5;7;74419;31508
261747;111770;440430101;44043;44;62;female;True;;False;False;2;2;False;False;1.5;7;74420;31508
262420;112031;undefined;undefined;44;48;male;False;car;True;False;1;1;False;False;1.0;6;74567;31565
264973;113048;440430102;44043;44;30;female;False;car;True;False;1;1;False;False;1.0;4;75114;31782
267580;114102;undefined;undefined;44;28;female;True;car;True;False;2;3;False;False;1.8;5;75685;32011
267581;114102;undefined;undefined;44;32;male;True;car;True;False;2;3;False;False;1.8;2;75686;32011
267582;114102;undefined;undefined;44;1;male;False;;False;False;2;3;False;False;1.8;8;75687;32011
275947;117444;undefined;undefined;44;46;male;False;car;True;False;1;1;False;False;1.0;4;77545;32744
277090;117918;undefined;undefined;44;15;male;False;;False;True;3;4;False;False;2.5;8;77795;32848
277091;117918;undefined;undefined;44;50;female;True;car;True;False;3;4;False;False;2.5;6;77796;32848
277092;117918;undefined;undefined;44;20;male;False;;False;True;3;4;False;False;2.5;8;77797;32848
277093;117918;undefined;undefined;44;51;male;True;car;True;False;3;4;False;False;2.5;4;77798;32848
281593;119674;440430101;44043;44;16;female;False;;False;True;1;2;False;False;1.5;8;78781;33233
281594;119674;440430101;44043;44;46;female;False;car;True;False;1;2;False;False;1.5;5;78782;33233
282817;120237;440430102;44043;44;85;male;True;;False;False;1;2;False;False;1.5;7;79066;33359
282818;120237;440430102;44043;44;86;female;True;;False;False;1;2;False;False;1.5;7;79065;33359
282889;120262;undefined;undefined;44;31;female;True;;False;False;2;2;False;False;1.5;4;79081;33364
282890;120262;undefined;undefined;44;48;male;True;;False;False;2;2;False;False;1.5;6;79082;33364
283322;120431;undefined;undefined;44;49;male;False;car;True;False;1;1;False;False;1.0;6;79177;33401
288119;122312;440430102;44043;44;27;female;True;car;True;False;2;2;False;False;1.5;5;80228;33807
288120;122312;440430102;44043;44;28;male;True;pt;True;False;2;2;False;False;1.5;3;80229;33807
293502;124536;undefined;undefined;44;73;female;True;;False;False;1;2;False;False;1.5;7;81579;34292
293503;124536;undefined;undefined;44;75;male;True;;False;False;1;2;False;False;1.5;7;81580;34292
294715;125084;undefined;undefined;44;68;male;True;;False;False;1;2;False;False;1.5;7;81877;34419
294716;125084;undefined;undefined;44;71;female;True;;False;False;1;2;False;False;1.5;7;81878;34419
296381;125733;440670102;44067;44;28;female;False;;False;False;1;2;False;False;1.3;5;82252;34562
296382;125733;440670102;44067;44;5;female;False;;False;True;1;2;False;False;1.3;8;82253;34562
298198;126467;undefined;undefined;44;30;female;True;car;True;False;2;5;False;False;2.4;5;82676;34729
298199;126467;undefined;undefined;44;29;male;True;car;True;False;2;5;False;False;2.4;4;82675;34729
298200;126467;undefined;undefined;44;0;female;False;;False;False;2;5;False;False;2.4;8;82673;34729
298201;126467;undefined;undefined;44;5;male;False;;False;False;2;5;False;False;2.4;8;82674;34729
298202;126467;undefined;undefined;44;3;male;False;;False;False;2;5;False;False;2.4;8;82672;34729
300629;127506;440670101;44067;44;14;female;False;;False;True;0;5;False;False;2.6;8;83243;34962
300630;127506;440670101;44067;44;51;male;True;;False;False;0;5;False;False;2.6;6;83242;34962
300631;127506;440670101;44067;44;13;male;False;;False;True;0;5;False;False;2.6;8;83241;34962
300632;127506;440670101;44067;44;37;female;True;;False;False;0;5;False;False;2.6;8;83240;34962
300633;127506;440670101;44067;44;10;female;False;;False;True;0;5;False;False;2.6;8;83239;34962
302825;128476;undefined;undefined;44;63;male;True;;False;False;2;2;False;False;1.5;7;83779;35184
302826;128476;undefined;undefined;44;61;female;True;;False;False;2;2;False;False;1.5;7;83780;35184
307547;130471;440670102;44067;44;81;female;True;;False;False;0;1;False;False;1.0;7;84948;35656
309261;131195;undefined;undefined;44;75;female;False;;False;False;0;1;False;False;1.0;7;85394;35833
309567;131307;undefined;undefined;44;32;female;False;car;True;False;1;2;False;False;1.3;6;85461;35858
309568;131307;undefined;undefined;44;9;female;False;;False;True;1;2;False;False;1.3;8;85460;35858
312853;132742;440670101;44067;44;74;female;False;;False;False;0;1;False;False;1.0;7;86237;36186
314561;133496;undefined;undefined;44;27;male;False;car;True;False;1;1;False;False;1.0;6;86659;36364
316288;134313;440670101;44067;44;80;male;True;;False;False;1;2;False;False;1.5;7;87111;36558
316289;134313;440670101;44067;44;78;female;True;;False;False;1;2;False;False;1.5;7;87112;36558
318661;135323;undefined;undefined;44;27;female;True;car;True;False;1;3;False;False;1.8;1;87696;36794
318662;135323;undefined;undefined;44;30;male;True;car;True;False;1;3;False;False;1.8;1;87697;36794
318663;135323;undefined;undefined;44;1;male;False;;False;False;1;3;False;False;1.8;8;87698;36794
321209;136425;440690106;44069;44;76;female;True;;False;False;3;2;False;False;1.5;7;88491;37090
321210;136425;440690106;44069;44;78;male;True;;False;False;3;2;False;False;1.5;7;88492;37090
321393;136501;undefined;undefined;44;35;male;False;car;True;False;0;1;False;False;1.0;4;88556;37116
322747;137065;undefined;undefined;44;40;female;False;car;True;False;1;1;False;False;1.0;4;88955;37278
325001;138057;440690105;44069;44;74;female;False;;False;False;1;1;False;False;1.0;7;89590;37553
326485;138687;440690101;44069;44;15;female;False;;False;True;1;4;False;False;2.3;8;90014;37734
326486;138687;440690101;44069;44;17;female;False;;False;True;1;4;False;False;2.3;8;90013;37734
326487;138687;440690101;44069;44;13;male;False;;False;True;1;4;False;False;2.3;8;90011;37734
326488;138687;440690101;44069;44;45;female;False;car;True;False;1;4;False;False;2.3;4;90012;37734
329455;140040;440690107;44069;44;1;male;False;;False;False;2;3;False;False;1.8;8;90906;38122
329456;140040;440690107;44069;44;29;female;True;car;True;False;2;3;False;False;1.8;5;90907;38122
329457;140040;440690107;44069;44;29;male;True;car;True;False;2;3;False;False;1.8;6;90908;38122
332713;141466;undefined;undefined;44;59;female;False;;False;False;1;1;False;False;1.0;8;91815;38517
334730;142360;undefined;undefined;44;69;female;True;;False;False;2;2;False;False;1.5;7;92409;38776
334731;142360;undefined;undefined;44;69;male;True;;False;False;2;2;False;False;1.5;7;92408;38776
342462;145857;undefined;undefined;44;25;female;True;car;True;False;2;2;False;False;1.5;5;94678;39773
342463;145857;undefined;undefined;44;26;male;True;car;True;False;2;2;False;False;1.5;4;94679;39773
343717;146423;undefined;undefined;44;62;male;False;;False;False;1;2;False;False;1.3;7;95026;39928
343718;146423;undefined;undefined;44;12;female;False;;False;True;1;2;False;False;1.3;8;95027;39928
345335;147152;440690106;44069;44;72;male;True;;False;False;2;1;False;False;1.0;7;95534;40149
354509;151204;undefined;undefined;44;66;female;True;;False;False;2;2;False;False;1.5;7;98205;41303
354510;151204;undefined;undefined;44;66;male;True;;False;False;2;2;False;False;1.5;7;98206;41303
355150;151484;undefined;undefined;44;62;female;True;;False;False;2;2;False;False;1.5;7;98376;41376
